bbox,track_id,object_name,time_date,bbox_image_path,confidence,score,tag
"[295, 471, 399, 545]",1.0,car,2025-05-06__20_31_52_346948,./bbox_images\1.0_2025-05-06__20_31_52_346948.jpg,0.8428136110305786,0.8297334353555842,0.0
"[515, 394, 564, 439]",2.0,car,2025-05-06__20_31_52_348942,./bbox_images\2.0_2025-05-06__20_31_52_348942.jpg,0.7370590567588806,1.1375916692079957,0.0
"[427, 497, 524, 581]",3.0,car,2025-05-06__20_31_52_350937,./bbox_images\3.0_2025-05-06__20_31_52_350937.jpg,0.722658097743988,1.4032325975995934,0.0
"[987, 197, 1277, 287]",4.0,train,2025-05-06__20_31_52_353934,./bbox_images\4.0_2025-05-06__20_31_52_353934.jpg,0.6225440502166748,0.0056462715047519,0.0
"[451, 343, 504, 392]",5.0,car,2025-05-06__20_31_52_355923,./bbox_images\5.0_2025-05-06__20_31_52_355923.jpg,0.4951170682907104,0.6891940817204625,0.0
"[553, 333, 589, 363]",6.0,car,2025-05-06__20_31_52_357920,./bbox_images\6.0_2025-05-06__20_31_52_357920.jpg,0.4832167029380798,0.8192492185323279,0.0
"[409, 295, 482, 359]",7.0,bus,2025-05-06__20_31_52_360002,./bbox_images\7.0_2025-05-06__20_31_52_360002.jpg,0.4749836325645447,1.3929583883831715,0.0
"[196, 406, 307, 497]",8.0,truck,2025-05-06__20_31_52_360910,./bbox_images\8.0_2025-05-06__20_31_52_360910.jpg,0.4409485161304474,0.2946253185625205,0.0
"[197, 406, 307, 498]",9.0,bus,2025-05-06__20_31_52_362905,./bbox_images\9.0_2025-05-06__20_31_52_362905.jpg,0.3907886445522308,0.2851359510699715,0.0
"[673, 297, 696, 313]",10.0,car,2025-05-06__20_31_52_364899,./bbox_images\10.0_2025-05-06__20_31_52_364899.jpg,0.3800838887691498,-0.3238077095724571,1.0
"[675, 297, 700, 315]",11.0,car,2025-05-06__20_31_52_366377,./bbox_images\11.0_2025-05-06__20_31_52_366377.jpg,0.2916972637176513,0.1013274813889266,1.0
"[299, 468, 400, 541]",1.0,car,2025-05-06__20_31_52_823673,./bbox_images\1.0_2025-05-06__20_31_52_823673.jpg,0.7326451539993286,0.8266179534370863,0.0
"[516, 392, 564, 436]",2.0,car,2025-05-06__20_31_52_825667,./bbox_images\2.0_2025-05-06__20_31_52_825667.jpg,0.7188801169395447,1.0887616826453632,0.0
"[428, 495, 524, 577]",3.0,car,2025-05-06__20_31_52_826664,./bbox_images\3.0_2025-05-06__20_31_52_826664.jpg,0.7494262456893921,1.3739128142608747,0.0
"[987, 197, 1277, 288]",4.0,train,2025-05-06__20_31_52_828658,./bbox_images\4.0_2025-05-06__20_31_52_828658.jpg,0.600924551486969,0.0057182279193244,0.0
"[454, 341, 506, 389]",5.0,truck,2025-05-06__20_31_52_830653,./bbox_images\5.0_2025-05-06__20_31_52_830653.jpg,0.3030217885971069,0.6694138750673964,0.0
"[553, 332, 590, 363]",6.0,car,2025-05-06__20_31_52_831651,./bbox_images\6.0_2025-05-06__20_31_52_831651.jpg,0.4751360118389129,0.8436053683935976,0.0
"[410, 294, 483, 358]",7.0,bus,2025-05-06__20_31_52_833645,./bbox_images\7.0_2025-05-06__20_31_52_833645.jpg,0.4119476079940796,1.3829951849387845,0.0
"[201, 405, 311, 495]",8.0,truck,2025-05-06__20_31_52_834643,./bbox_images\8.0_2025-05-06__20_31_52_834643.jpg,0.5192329287528992,0.9389245534913944,0.0
"[676, 296, 701, 316]",11.0,car,2025-05-06__20_31_52_836638,./bbox_images\11.0_2025-05-06__20_31_52_836638.jpg,0.2302528768777847,1.2266977679228503,1.0
"[306, 463, 407, 532]",1.0,car,2025-05-06__20_31_53_266767,./bbox_images\1.0_2025-05-06__20_31_53_266767.jpg,0.7853030562400818,0.8223902017354678,0.0
"[519, 389, 566, 434]",2.0,car,2025-05-06__20_31_53_268497,./bbox_images\2.0_2025-05-06__20_31_53_268497.jpg,0.6546390652656555,1.106514970393126,0.0
"[433, 488, 527, 567]",3.0,car,2025-05-06__20_31_53_270847,./bbox_images\3.0_2025-05-06__20_31_53_270847.jpg,0.7810519933700562,1.3372483795420012,0.0
"[987, 197, 1277, 287]",4.0,train,2025-05-06__20_31_53_272615,./bbox_images\4.0_2025-05-06__20_31_53_272615.jpg,0.6026465892791748,0.0056462715047519,0.0
"[457, 338, 508, 387]",5.0,car,2025-05-06__20_31_53_274467,./bbox_images\5.0_2025-05-06__20_31_53_274467.jpg,0.4367205202579498,0.6615566031249432,0.0
